report_date	category	revenue
21/04/2022	Ethnic Dress	33674.0
21/04/2022	Saree	6069.0
21/04/2022	Set	1454005.0
21/04/2022	Top	159891.0
21/04/2022	Western Dress	265559.0
21/04/2022	kurta	837551.0
22/04/2022	Blouse	16388.0
22/04/2022	Bottom	9602.0
22/04/2022	Ethnic Dress	30591.0
22/04/2022	Saree	6898.0
22/04/2022	Set	1483181.0
22/04/2022	Top	152285.0
22/04/2022	Western Dress	263662.0
22/04/2022	kurta	827989.0
23/04/2022	Blouse	16631.0
23/04/2022	Bottom	10522.0
23/04/2022	Ethnic Dress	25099.0
23/04/2022	Saree	4928.0
23/04/2022	Set	1486181.0
23/04/2022	Top	158994.0
23/04/2022	Western Dress	258395.0
23/04/2022	kurta	799829.0
24/04/2022	Blouse	21082.0
24/04/2022	Bottom	10338.0
24/04/2022	Ethnic Dress	23279.0
24/04/2022	Saree	8178.0
24/04/2022	Set	1584006.0
24/04/2022	Top	171718.0
24/04/2022	Western Dress	288538.0
24/04/2022	kurta	766217.0
25/04/2022	Blouse	18527.0
25/04/2022	Bottom	8872.0
25/04/2022	Ethnic Dress	24448.0
25/04/2022	Saree	7279.0
25/04/2022	Set	1549299.0
25/04/2022	Top	186001.0
25/04/2022	Western Dress	315055.0
25/04/2022	kurta	754119.0
26/04/2022	Blouse	16293.0
26/04/2022	Bottom	8159.0
26/04/2022	Ethnic Dress	21927.0
26/04/2022	Saree	5807.0
26/04/2022	Set	1466702.0
26/04/2022	Top	178099.0
26/04/2022	Western Dress	286613.0
26/04/2022	kurta	726844.0
27/04/2022	Blouse	17175.0
27/04/2022	Bottom	9874.0
27/04/2022	Ethnic Dress	12532.0
27/04/2022	Saree	1648.0
27/04/2022	Set	1321810.0
27/04/2022	Top	170500.0
27/04/2022	Western Dress	267913.0
27/04/2022	kurta	679745.0
28/04/2022	Blouse	18009.0
28/04/2022	Bottom	9191.0
28/04/2022	Ethnic Dress	14649.0
28/04/2022	Saree	7029.0
28/04/2022	Set	1269501.0
28/04/2022	Top	169882.0
28/04/2022	Western Dress	228950.0
28/04/2022	kurta	655458.0
29/04/2022	Blouse	16491.0
29/04/2022	Bottom	7576.0
29/04/2022	Ethnic Dress	17868.0
29/04/2022	Saree	8667.0
29/04/2022	Set	1225824.0
29/04/2022	Top	170035.0
29/04/2022	Western Dress	233058.0
29/04/2022	kurta	623699.0
30/04/2022	Blouse	12587.0
30/04/2022	Bottom	3765.0
30/04/2022	Ethnic Dress	22447.0
30/04/2022	Saree	9377.0
30/04/2022	Set	1292465.0
30/04/2022	Top	170664.0
30/04/2022	Western Dress	243061.0
30/04/2022	kurta	671647.0
01/05/2022	Blouse	14236.0
01/05/2022	Bottom	3366.0
01/05/2022	Ethnic Dress	18423.0
01/05/2022	Saree	3810.0
01/05/2022	Set	1411443.0
01/05/2022	Top	174163.0
01/05/2022	Western Dress	286087.0
01/05/2022	kurta	744284.0
02/05/2022	Blouse	15970.0
02/05/2022	Bottom	5022.0
